,matchid,teamid,firstblood,firsttower,firstinhib,firstbaron,firstdragon,firstharry,towerkills,inhibkills,baronkills,dragonkills,harrykills
267215,137105,200,0,0,0,0,0,0,0,0,0,0,0
267216,137106,100,1,0,0,0,0,0,0,0,0,0,0
267217,137106,200,0,1,0,0,1,0,5,0,0,2,0
267218,137107,100,1,1,1,0,1,0,8,3,1,4,0
267219,137107,200,0,0,0,1,0,0,8,1,1,1,0
267220,137108,100,0,0,1,1,1,0,9,1,1,3,0
267221,137108,200,1,1,0,0,0,0,2,0,0,0,0
267222,137109,100,0,0,0,0,0,0,0,0,0,1,0
267223,137109,200,1,1,1,1,1,1,9,1,2,3,1
267224,137110,100,1,1,1,1,0,0,9,1,2,0,0
267225,137110,200,0,0,0,0,1,0,6,1,0,5,0
267226,137111,100,0,0,0,1,1,0,2,0,1,4,0
267227,137111,200,1,1,1,0,0,1,10,4,1,1,1
267228,137112,100,1,1,1,1,1,0,11,3,1,3,0
267229,137112,200,0,0,0,0,0,0,0,0,0,0,0
267230,137113,100,0,0,1,1,0,0,10,2,1,1,0
267231,137113,200,1,1,0,0,1,0,4,0,0,2,0
267232,137114,100,1,0,0,0,0,0,7,1,1,1,0
267233,137114,200,0,1,1,1,1,0,8,1,1,3,0
267234,137115,100,0,0,1,1,0,0,11,3,2,2,0
267235,137115,200,1,1,0,0,1,0,7,0,1,2,0
267236,137116,100,1,0,0,0,1,0,4,0,0,1,0
267237,137116,200,0,1,1,1,0,0,10,3,1,2,0
267238,137117,100,1,1,1,1,1,0,11,3,1,2,0
267239,137117,200,0,0,0,0,0,0,3,0,0,0,0
267240,137118,100,1,1,1,1,1,0,11,3,1,2,0
267241,137118,200,0,0,0,0,0,0,0,0,0,0,0
267242,137119,100,0,0,0,0,0,0,1,0,0,1,0
267243,137119,200,1,1,1,1,1,0,11,3,1,3,0
267244,137120,100,0,0,0,0,1,0,9,2,0,3,0
267245,137120,200,1,1,1,1,0,0,6,1,2,1,0
267246,137121,100,1,1,1,0,1,0,7,1,0,3,0
267247,137121,200,0,0,0,1,0,0,7,1,2,2,0
267248,137122,100,1,1,0,0,1,1,9,1,1,3,1
267249,137122,200,0,0,1,1,0,0,7,1,1,1,0
267250,137123,100,0,1,0,0,0,0,3,0,0,2,0
267251,137123,200,1,0,1,1,1,0,10,1,1,2,0
267252,137124,100,0,1,1,1,1,0,10,2,1,3,0
267253,137124,200,1,0,0,0,0,0,3,0,0,0,0
267254,137125,100,1,1,1,1,1,0,9,2,1,2,0
267255,137125,200,0,0,0,0,0,0,1,0,0,0,0
267256,137126,100,0,0,0,0,1,0,3,0,0,1,0
267257,137126,200,1,1,1,1,0,0,7,1,1,2,0
267258,137127,100,0,1,1,1,1,0,10,2,1,3,0
267259,137127,200,1,0,0,0,0,0,1,0,0,0,0
267260,137128,100,1,1,1,1,0,0,10,2,1,2,0
267261,137128,200,0,0,0,0,1,1,1,0,0,2,1
267262,137129,100,0,0,1,1,0,0,10,2,2,2,0
267263,137129,200,1,1,0,0,1,0,5,0,1,3,0
267264,137130,100,0,0,0,0,0,0,3,0,0,0,0
267265,137130,200,1,1,1,1,1,0,10,3,1,3,0
267266,137131,100,1,1,1,0,1,0,6,1,0,4,0
267267,137131,200,0,0,0,1,0,0,6,1,1,1,0
267268,137132,100,0,0,0,0,0,0,0,0,0,0,0
267269,137132,200,1,1,1,0,1,1,8,1,0,1,1
267270,137133,100,0,0,0,0,0,0,2,0,0,0,0
267271,137133,200,1,1,1,1,1,0,11,3,1,3,0
267272,137134,100,1,0,0,0,0,0,1,0,0,0,0
267273,137134,200,0,1,1,0,1,0,11,1,0,3,0
267274,137135,100,1,1,1,1,1,0,11,3,1,2,0
267275,137135,200,0,0,0,0,0,0,1,0,0,0,0
267276,137136,100,0,1,1,1,1,0,10,2,1,3,0
267277,137136,200,1,0,0,0,0,0,1,0,0,0,0
267278,137137,100,0,0,0,0,0,0,0,0,0,0,0
267279,137137,200,1,1,1,0,1,0,10,2,0,2,0
267280,137138,100,0,0,0,1,0,0,8,1,2,4,0
267281,137138,200,1,1,1,0,1,0,10,2,1,2,0
267282,137139,100,0,1,0,0,0,0,6,0,1,0,0
267283,137139,200,1,0,1,1,1,0,9,4,1,4,0
267284,137140,100,0,1,1,0,1,0,10,2,0,2,0
267285,137140,200,1,0,0,0,0,0,0,0,0,0,0
267286,137141,100,0,1,1,0,1,0,11,2,0,1,0
267287,137141,200,1,0,0,0,0,0,0,0,0,0,0
267288,137142,100,1,1,0,0,1,0,8,1,0,3,0
267289,137142,200,0,0,1,1,0,0,9,2,1,2,0
267290,137143,100,0,0,0,1,1,0,9,1,2,4,0
267291,137143,200,1,1,1,0,0,0,6,1,0,1,0
267292,137144,100,1,1,1,1,0,1,10,3,1,0,1
267293,137144,200,0,0,0,0,1,0,2,0,0,5,0
267294,137145,100,0,0,0,0,0,0,0,0,0,0,0
267295,137145,200,1,0,0,0,0,0,0,0,0,0,0
267296,137146,100,0,0,0,0,0,0,2,0,0,0,0
267297,137146,200,1,1,1,1,1,0,11,3,1,4,0
267298,137147,100,1,1,1,0,1,0,7,1,0,3,0
267299,137147,200,0,0,0,0,0,0,2,0,0,0,0
267300,137148,100,1,0,1,1,0,0,8,1,1,1,0
267301,137148,200,0,1,0,0,1,0,9,1,1,4,0
267302,137149,100,0,0,0,0,0,0,0,0,0,0,0
267303,137149,200,1,1,1,1,1,1,11,3,1,2,1
267304,137150,100,0,0,0,0,0,0,0,0,0,0,0
267305,137150,200,1,1,1,0,1,1,10,2,0,2,1
267306,137151,100,0,1,1,1,1,0,5,2,2,1,0
267307,137151,200,1,0,0,0,0,1,8,1,1,4,1
267308,137152,100,0,1,1,0,1,0,10,2,0,3,0
267309,137152,200,1,0,0,0,0,0,1,0,0,0,0
267310,137153,100,1,1,1,1,1,0,10,1,2,3,0
267311,137153,200,0,0,0,0,0,0,3,0,0,0,0
267312,137154,100,1,0,0,0,0,0,5,0,0,0,0
267313,137154,200,0,1,1,1,1,0,8,1,1,2,0
267314,137155,100,1,0,1,1,1,0,11,3,1,4,0
267315,137155,200,0,1,0,0,0,0,4,0,0,0,0
267316,137156,100,0,0,0,0,0,0,4,0,0,1,0
267317,137156,200,1,1,1,1,1,0,10,2,1,4,0
267318,137157,100,0,1,1,1,1,0,10,2,1,2,0
267319,137157,200,1,0,0,0,0,0,1,0,0,0,0
267320,137158,100,0,0,0,0,1,0,0,0,0,1,0
267321,137158,200,1,1,1,0,0,0,10,2,0,2,0
267322,137159,100,1,0,1,1,0,0,7,1,1,1,0
267323,137159,200,0,1,0,0,1,1,5,0,0,3,1
267324,137160,100,1,1,1,0,0,1,8,2,0,1,1
267325,137160,200,0,0,0,1,1,0,4,0,2,2,0
267326,137161,100,0,0,0,0,0,0,1,0,0,0,0
267327,137161,200,1,1,1,0,1,0,10,2,0,3,0
267328,137162,100,1,1,1,1,0,0,9,2,1,1,0
267329,137162,200,0,0,0,0,1,0,5,0,0,2,0
267330,137163,100,0,0,0,0,0,0,0,0,0,0,0
267331,137163,200,1,1,0,0,1,0,4,0,0,2,0
267332,137164,100,0,1,0,0,1,0,5,0,0,1,0
267333,137164,200,1,0,0,0,0,0,1,0,0,0,0
267334,137165,100,0,0,0,0,0,0,0,0,0,0,0
267335,137165,200,1,1,1,0,1,0,11,3,0,1,0
267336,137166,100,1,1,1,0,1,0,11,3,0,3,0
267337,137166,200,0,0,0,0,0,0,0,0,0,0,0
267338,137167,100,0,0,0,0,1,0,2,0,0,1,0
267339,137167,200,1,1,1,1,0,0,10,2,1,2,0
267340,137168,100,1,1,1,1,1,0,10,3,1,3,0
267341,137168,200,0,0,0,0,0,0,2,0,0,0,0
267342,137169,100,1,1,1,0,0,0,10,3,1,1,0
267343,137169,200,0,0,0,1,1,0,9,2,1,4,0
267344,137170,100,0,0,1,1,1,0,7,1,1,4,0
267345,137170,200,1,1,0,0,0,0,11,2,0,1,0
267346,137171,100,1,0,0,0,0,0,4,0,0,0,0
267347,137171,200,0,1,1,1,1,0,11,3,1,3,0
267348,137172,100,1,0,0,0,0,0,2,0,0,0,0
267349,137172,200,0,1,1,1,1,1,10,2,1,3,1
267350,137173,100,0,1,0,1,1,1,3,0,1,1,1
267351,137173,200,1,0,1,0,0,0,10,2,0,2,0
267352,137174,100,0,1,1,1,1,0,11,2,1,3,0
267353,137174,200,1,0,0,0,0,0,5,0,0,0,0
267354,137175,100,1,1,0,1,0,0,9,1,1,2,0
267355,137175,200,0,0,1,0,1,0,6,2,1,2,0
267356,137176,100,1,1,1,0,1,0,11,3,0,3,0
267357,137176,200,0,0,0,1,0,0,1,0,1,0,0
267358,137177,100,1,1,1,0,1,0,10,2,0,2,0
267359,137177,200,0,0,0,0,0,0,1,0,0,0,0
267360,137178,100,0,0,0,0,0,0,1,0,0,0,0
267361,137178,200,1,1,1,1,1,0,11,2,1,3,0
267362,137179,100,0,1,1,1,0,0,11,3,1,1,0
267363,137179,200,1,0,0,0,1,0,2,0,0,2,0
267364,137180,100,0,0,0,0,1,0,0,0,0,2,0
267365,137180,200,1,1,1,0,0,1,10,2,0,0,1
267366,137181,100,0,1,1,1,1,0,11,3,1,4,0
267367,137181,200,1,0,0,0,0,0,2,0,0,0,0
267368,137182,100,1,1,1,1,1,1,8,2,2,3,1
267369,137182,200,0,0,0,0,0,0,2,0,0,0,0
267370,137183,100,1,1,1,1,0,0,11,3,1,3,0
267371,137183,200,0,0,0,0,1,0,0,0,0,1,0
267372,137184,100,0,0,0,0,0,0,2,0,0,0,0
267373,137184,200,1,1,1,0,1,0,7,1,0,3,0
267374,137185,100,1,0,1,1,1,0,11,3,1,2,0
267375,137185,200,0,1,0,0,0,0,1,0,0,1,0
267376,137186,100,0,0,0,0,1,0,3,0,0,1,0
267377,137186,200,1,1,1,1,0,0,10,2,1,2,0
267378,137187,100,0,1,1,1,0,0,10,3,1,2,0
267379,137187,200,1,0,0,0,1,0,1,0,0,1,0
267380,137188,100,0,0,0,0,0,0,2,0,0,0,0
267381,137188,200,1,1,1,0,1,0,11,3,0,2,0
267382,137189,100,0,0,0,0,0,0,0,0,0,0,0
267383,137189,200,1,1,1,1,1,0,11,3,1,2,0
267384,137190,100,1,0,0,0,0,0,1,0,0,0,0
267385,137190,200,0,1,1,1,1,1,11,4,1,4,1
267386,137191,100,0,0,0,0,0,0,4,0,0,0,0
267387,137191,200,1,1,1,1,1,0,10,2,1,4,0
