,id,gameid,platformid,queueid,seasonid,duration,creation,version
135830,139333,2404575694,NA1,440,8,1866,1484967466196,7.1.172.6393
135831,139334,2404538184,NA1,440,8,1629,1484964478469,7.1.172.6393
135832,139335,2404319551,NA1,440,8,1948,1484955399032,7.1.172.6393
135833,139336,2399243838,NA1,420,8,2094,1484416370125,7.1.171.6847
135834,139337,2392057604,NA1,440,8,2049,1483654517959,6.24.169.4424
135835,139338,2388614054,NA1,420,8,2464,1483297234395,6.24.169.4424
135836,139339,2387685407,NA1,420,8,1957,1483208965065,6.24.169.4424
135837,139340,2387672668,NA1,420,8,1664,1483206472582,6.24.169.4424
135838,139341,2387660858,NA1,420,8,2005,1483203826527,6.24.169.4424
135839,139342,2387616922,NA1,420,8,2716,1483200609618,6.24.169.4424
135840,139343,2387023583,NA1,420,8,1880,1483128888997,6.24.169.4424
135841,139344,2386986528,NA1,420,8,2521,1483125782348,6.24.169.4424
135842,139345,2386285205,NA1,420,8,2737,1483066619455,6.24.169.4424
135843,139346,2385962906,NA1,420,8,1893,1483035487961,6.24.169.4424
135844,139347,2385959765,NA1,420,8,1277,1483033087763,6.24.169.4424
135845,139348,2385916520,NA1,420,8,1969,1483030205231,6.24.169.4424
135846,139349,2385484454,NA1,420,8,1392,1482974732872,6.24.169.4424
135847,139350,2385449570,NA1,420,8,1753,1482972463347,6.24.169.4424
135848,139351,2385453161,NA1,420,8,1637,1482970158304,6.24.169.4424
135849,139352,2385407941,NA1,420,8,2101,1482967466980,6.24.169.4424
135850,139353,2384935275,NA1,420,8,2696,1482938710048,6.24.169.4424
135851,139354,2384620080,NA1,420,8,1853,1482897444401,6.24.169.4424
135852,139355,2381563800,NA1,420,8,1966,1482602542661,6.24.169.4424
135853,139356,2380947583,NA1,9,8,1176,1482531143487,6.24.169.4424
135854,139357,2375513019,NA1,420,8,1219,1482020504123,6.24.169.4424
135855,139358,2375331869,NA1,420,8,1438,1482005633346,6.24.169.4424
135856,139359,2374520621,NA1,420,8,1365,1481919882257,6.24.169.4424
135857,139360,2373886837,NA1,420,8,2000,1481862165727,6.24.169.4424
135858,139361,2373470703,NA1,420,8,2605,1481818609151,6.24.169.4424
135859,139362,2373399073,NA1,420,8,2151,1481815691533,6.24.169.4424
135860,139363,2373153872,NA1,420,8,2810,1481771752982,6.24.169.4424
135861,139364,2372974861,NA1,420,8,1217,1481759134167,6.24.169.4424
135862,139365,2372644962,NA1,420,8,2086,1481737303769,6.24.169.4424
135863,139366,2372156540,NA1,420,8,1488,1481681528956,6.24.169.4424
135864,139367,2371919617,NA1,420,8,2085,1481663674375,6.24.169.4424
135865,139368,2371509352,NA1,420,8,1492,1481597957299,6.24.168.1268
135866,139369,2370999524,NA1,420,8,2422,1481580307119,6.24.168.1268
135867,139370,2370993998,NA1,420,8,2079,1481577132119,6.24.168.1268
135868,139371,2370999771,NA1,420,8,1991,1481574589831,6.24.168.1268
135869,139372,2370168920,NA1,420,8,2122,1481481148109,6.24.168.1268
135870,139373,2370164528,NA1,420,8,2025,1481478475935,6.24.168.1268
135871,139374,2369157053,NA1,420,8,1976,1481405619214,6.24.168.1268
135872,139375,2369151789,NA1,420,8,1854,1481403230914,6.24.168.1268
135873,139376,2369038416,NA1,420,8,2342,1481396661124,6.24.168.1268
135874,139377,2368983116,NA1,420,8,2443,1481386332633,6.24.168.1268
135875,139378,2368990401,NA1,420,8,1854,1481383905423,6.24.168.1268
135876,139379,2368938959,NA1,420,8,1421,1481381915927,6.24.168.1268
135877,139380,2368009346,NA1,420,8,2754,1481313150741,6.24.168.1268
135878,139381,2367934832,NA1,420,8,1994,1481295782819,6.24.168.1268
135879,139382,2364054391,NA1,440,8,2005,1480884561346,6.23.166.2676
135880,139383,2364008592,NA1,440,8,1649,1480882049844,6.23.166.2676
135881,139384,2363996001,NA1,440,8,1445,1480879970384,6.23.166.2676
135882,139385,2362512555,NA1,440,8,1792,1480738822434,6.23.166.2676
135883,139386,2362432401,NA1,440,8,2379,1480734508007,6.23.166.2676
